1218.0,0x7579D5005F3f7b879001Cf017825AAE0552F27c1,24 months,1,26,MultisigVesting,
177.6,0xba986c82a78db4cc36d05fd99836c795bece1663 ,24 months,1,26,MultisigVesting,
12000.0,0xDa0b417b8baba6B48784547277750ffB979CB293 ,Team vesting 36 months,6,38,MultisigVesting,
27987.3,0x504C2ba98C6C17D526Ebe073218910f7f27EE51e ,10 months,1,10,OwnerVesting,Genesis
532.8,0x01252BdB4927bFEED7e4c87a4a33d4DA8D3D5Aa5,24 months,1,26,MultisigVesting,
890.6,0x36aedDBD87b092E01Ea5327eFBb619187F9A9c13,24 months,1,26,MultisigVesting,
110.8,0xEec8E7E6b58F6c980cab1e650f2d0d3eD49cf764,24 months,1,26,MultisigVesting,
42.6,0x0C149119166d186299A8894a596106743f280B22,24 months,1,26,MultisigVesting,
117.2,0x1d8eAe1014Bf33357E7a10B4428D57cFeD07ddf8,24 months,1,26,MultisigVesting,
112.6,0xb0ace2c3a12a2026caef06898d734e8950ac2680,24 months,1,26,MultisigVesting,
8.9,0x9BD6759F6D9eA15D33076e55d4CBba7cf85877A7,24 months,1,26,MultisigVesting,
71.0,0x854058553dF87EF1bE2c1D8f24eEa8AF52A81fF1,24 months,1,26,MultisigVesting,
71.0,0x0C149119166d186299A8894a596106743f280B22,24 months,1,26,MultisigVesting,
71.0,0x94eCE1338Cc64F7846FA9e4D21fEC4b222908a3d,24 months,1,26,MultisigVesting,
35.5,0xF5366a3445Adf491311a6e86443bfb5392f08265,24 months,1,26,MultisigVesting,
35.5,0x9fb96c6556562E660811c99da2351d99DbFDB188,24 months,1,26,MultisigVesting,
