"4,014.05",24.91246553,Contributor Compensation,0x1B888038505D3Fd0b577d7076d355eD21b93CEfe ,24 months,1,26,MultisigVesting,,Not Issued
196.15,24.91246553,Contributor Compensation,0x12C5bff9e78EaB5B76C4c37378337838D275cb4F,24 months,1,26,MultisigVesting,,Not Issued
"8,028.11",24.91246553,Contributor Compensation,0x9Aa8F928011EAE7E5466b75111175518dF94348d ,24 months,1,26,MultisigVesting,,Not Issued
"1,053.06",24.91246553,Contributor Compensation,0xa861989e618D911b4f090aF3cc1F1E56Ab08D210 ,24 months,1,26,MultisigVesting,,Not Issued
441.55,24.91246553,Contributor Compensation,0x36cd8971BE8B72Fb408Ef4E7Fa84c0C62CC15E9F ,24 months,1,26,MultisigVesting,,Not Issued
60.21,24.91246553,Contributor Compensation,0x3E7821266E1b3fC1228403f9F43DEba7dAedF66A,24 months,1,26,MultisigVesting,,Not Issued
84.30,24.91246553,Contributor Compensation,0xd86D0c3a5D84e7B6322d5d37571b47E219691e97,24 months,1,26,MultisigVesting,,Not Issued
26.09,24.91246553,Contributor Compensation,0x3F4F13776E6F56BD092C721E7De2F15d535B19FE,24 months,1,26,MultisigVesting,,Not Issued
144.51,24.91246553,Contributor Compensation,0x1B888038505D3Fd0b577d7076d355eD21b93CEfe ,24 months,1,26,MultisigVesting,,Not Issued
40.14,24.91246553,Contributor Compensation,0xbA986c82a78dB4CC36D05fD99836C795becE1663 ,24 months,1,26,MultisigVesting,,Not Issued
187.30,24.91246553,Contributor Compensation,0x97A56129a3E6B0C2cE256dbe3f70831661A4e1bC ,24 months,1,26,MultisigVesting,,Not Issued
102.28,24.91246553,Contributor Compensation,0x0090dcb43bA4Ca7536c6a16552F8D7a6411F8EA1 ,24 months,1,26,MultisigVesting,,Not Issued
10.84,24.91246553,Contributor Compensation,0xB3BA7Df8E14584Deca3C0F735effBEfB9F818601,24 months,1,26,MultisigVesting,,Not Issued
441.55,24.91246553,Contributor Compensation,0x36aedDBD87b092E01Ea5327eFBb619187F9A9c13 ,24 months,1,26,MultisigVesting,,Not Issued
147.20,24.91246553,Contributor Compensation,0x6f88d77261FF9651B4536B0c5EC7bAcb9130d4c3 ,24 months,1,26,MultisigVesting,,Not Issued
60.21,24.91246553,Contributor Compensation,0xC2b4Edb2De0e549d2df1098b8119B486d5A0A8cb ,24 months,1,26,MultisigVesting,,Not Issued
73.58,24.91246553,Contributor Compensation,0x9Aa8F928011EAE7E5466b75111175518dF94348d ,24 months,1,26,MultisigVesting,,Not Issued
168.59,24.91246553,Contributor Compensation,0x0C149119166d186299A8894a596106743f280B22 ,24 months,1,26,MultisigVesting,,Not Issued
42.15,24.91246553,Contributor Compensation,0x55Ed66E5E8371C66bc710A4feE4e8e7Bf2d825fd,24 months,1,26,MultisigVesting,,Not Issued
134.87,24.91246553,Contributor Compensation,0x367580BEc03c001D76C51591C7d79914c4cc0e7D,24 months,1,26,MultisigVesting,,Not Issued
189.06,24.91246553,Contributor Compensation,0x589079F57c6aD630bbcDbd93B9933FA0De2be34a,24 months,1,26,MultisigVesting,,Not Issued
196.29,24.91246553,Contributor Compensation,0x673B37941AB527E0eeE13C1fF09298Ef1911D7D6,24 months,1,26,MultisigVesting,,Not Issued
119.22,24.91246553,Contributor Compensation,0x7aF2A27665D5bBc5352342FCAF072A6f4a4011D2,24 months,1,26,MultisigVesting,,Not Issued
"1,204.22",24.91246553,Contributor Compensation,0xd87beb25391Fdf4de6538b9bAc237E00050D958e,24 months,1,26,MultisigVesting,,Not Issued
76.11,24.91246553,Contributor Compensation,0x1926FdAC2D85E6730FC9cb231eF2237C4d5cCc0e,24 months,1,26,MultisigVesting,,Not Issued
