737.31,0xbFd7dE39db0edd0bB912de917E1553fe42400402,24 months,1,26,MultisigVesting,
44.24,0x55Ed66E5E8371C66bc710A4feE4e8e7Bf2d825fd,24 months,1,26,MultisigVesting,
707.82,0x36aedDBD87b092E01Ea5327eFBb619187F9A9c13,24 months,1,26,MultisigVesting,
884.78,0x94eCE1338Cc64F7846FA9e4D21fEC4b222908a3d,24 months,1,26,MultisigVesting,
192.44,0x367580BEc03c001D76C51591C7d79914c4cc0e7D,24 months,1,26,MultisigVesting,
309.67,0x589079F57c6aD630bbcDbd93B9933FA0De2be34a,24 months,1,26,MultisigVesting,
309.67,0x673B37941AB527E0eeE13C1fF09298Ef1911D7D6,24 months,1,26,MultisigVesting,
179.17,0x7aF2A27665D5bBc5352342FCAF072A6f4a4011D2,24 months,1,26,MultisigVesting,
58.99,0x9fb96c6556562E660811c99da2351d99DbFDB188,24 months,1,26,MultisigVesting,
1164.18,0x5186Ec0910F39157B7285d43d6092087704d155a ,35 months,5,30,MultisigVesting,
77.64,0xa861989e618D911b4f090aF3cc1F1E56Ab08D210 ,24 months,1,26,MultisigVesting,
73.73,0xba986c82a78db4cc36d05fd99836c795bece1663,24 months,1,26,MultisigVesting,
120.21,0x1926FdAC2D85E6730FC9cb231eF2237C4d5cCc0e,24 months,1,26,MultisigVesting,
