value,web3 address
3449000,0x2845633f9cD219b43Be29CaE1ad4b776865E51D0
10000000,0x1A6327C0b16c2d419485e07D76535B6dEd3e8901
10000000,0x52529B0Aa70a2E906c3f1b37E43a0b1bC3267fe5
10000000,0x32c0Ad074627148f3a76ec880922277d68Eb2649
9950000,0xf534071fef57d7D41A67B2E51dBC032476293f78
948500,0xf215e108c685194E0bE4048912414c04E088FBF4
9481361,0xa9f078B3b6DD6C04308f19DEF394b6D5a1B8b732
1412500,0x4dFED7F4e030Ce93D91C05ec16A4F1fB6eADB222
6119482,0xd402703fAc5043e44aC0497966a456cb8E895007
10000000,0x49ECE09855d64361DEf958243fA330C7e2F1cC96
5377303,0x5796784cA62d176ab6e809aBa33D1b6116B8633b
10000000,0x7A2a539b7A1e5C2C79b07145eE056EfA68D6fe20
10000000,0x26f5841002acfb5acbcac7064b34ecfb1d8616b7
10000000,0xc61820308240b42a9d2295463bc94f64f28aa4bb
10000000,0xb59c25919700e001703a4431aec96b4f5b63cf04
9986500,0xaF1B75568c5649ae543694109fBf93f65263e19D
1212986,0xC3511f291c2C11c525ed557B27d8A5b3620A1A21
1522299,0x11519BA13c6b5494f971BAFf171A1045261beD6C
1045803,0x0A129F98C70706858160C973E518A8F94d709C43
10000000,0xD21B244f48aA004b9303aaE644D82D60c2ea1cb1
10000000,0xa2C84DC8F67e9AE2aaBa3EA45Dc3Fa7Ee71386AE
5000000,0xBE3207b02D4B492b0f2F277615ad1D9e7cc3EFb5
1232393,0x4F10c94F3e8de54136a39FA5f027E354F8CD39CC
967400,0x9f51f0158E65A166938bb79c3Abd27FCCE605b4a
3048095,0x1Fc0DaFcB9e8efBf2Fd6527BA08464EA290842Fd
3676510,0xDfBbE44E4F75d3CabA5AF641FDa955391d9b1BbE
50000,0x67b33B5b66f377Dac5d13dD26efa31415b490B83
10000000,0x531516CA59544Bf8AB2451A072b6fA94AdF5a88c
999000,0xE168f63AeCd89180bBaF9bAA2e5D281720Aed712
3661496,0xBE1F86409dCCA3d772443Df70A77e37A059d2208
7000000,0x1E630D2BDaF9133Ab8239fCFaF024604B7D44631
164729,0xdE9d728c79246fff0ca6f63f19aecB69ac89AFDC
9654337,0x814d2dCC371257a878bE75462c572274Ac2ae7b4
214221,0x82263Be156673f27367a8aB069978cE35ab70EE2
4526519,0x2A4b80Fa266B80Ee60835D4622C9534388850fcb
706813,0xdb2fbf42f047e2451B800c8874e56D5659a24b69
250000,0xE4f88F8Df42BBADA7DB3233B0b29C7DF34548Ff0
8514000,0x689412B5700De8Aff07aae43D905954051491a7b
1861323,0x30a23Fb975eD940E7b0a038B7F248C4c419EBAd1
8802087,0xEe334b4Ab0cD36071caCce9bD0b2F2e23f1252B0
999200,0x4d40e2541F943e48EC81Dcce70647386b0E89132
4164855,0xC996552aB087012cBaF108CA44a6DC1644Af2CA2
10000000,0x858c5C656a1C068346AC8ce9fF1728b2fAfEC07F
680600,0x386B81E4C4e90cb4C558724Ad5d8f5742bdeCDD4
