Address,Amount Staked,Voting Power,VP Mode,Delegated VP,Voluntary VP,Is Vesting
0x68911e58f65062066abc81559a6def797402f345,10000.96572545965277406,14001.352015643513883684,voluntary,0.0,14001.352015643513883684,false
0x72f4c63d3a948b86b9288f4d93b419a76ba88129,0.0,0.0,voluntary,0.0,0.0,false
0x740dce091631e17a17175f810ba2157a9ad64639,0.0,0.0,voluntary,0.0,0.0,false
0x742a7b943546b61dfe7408bcd51a0a6d8f91fcd3,0.0,0.0,voluntary,0.0,0.0,false
0x74dd73d498fceed337a35961e07d29e2b6b24782,2.0,4.2,voluntary,0.0,4.2,false
0x769beebdbf202381fec33336efdf2b49b4001acb,0.0,0.0,voluntary,0.0,0.0,false
0x7ad9386e30e13d3d1268a9f6d9bb7f36f164b6e3,0.0,0.0,voluntary,0.0,0.0,false
0x7f97f1e1173741f971565779cbdeeda97d60d164,59.353008974896424004,540.112381671557458436,voluntary,0.0,540.112381671557458436,false
0x80b230907fef58bf99ad75be76eb437315f8d142,0.0,0.0,voluntary,0.0,0.0,false
0x81e7436ae65a5d3a35793ff1b5dc82e3b12c9a68,104.292075090675343369,1032.491543397685899353,voluntary,0.0,1032.491543397685899353,false
0x84c11998bc94072265cbe837c1d4890237f98e46,0.0,0.0,voluntary,0.0,0.0,false
0x871a67b40ae162439a33424b54f898bb2a710109,0.0,0.0,voluntary,0.0,0.0,false
0x8a4d4a1f50d5927c37ce702497b1927cee6ecb08,0.0,0.0,voluntary,0.0,0.0,false
0x8c534924ac55c7563b592986ca22eacc5d27470f,0.0,0.0,voluntary,0.0,0.0,false
0x918b12a60ef21802cab10261e2a6fc39d305c03d,0.0,0.0,voluntary,0.0,0.0,false
0x95033e0027273b220fba8e9514977b25204425fe,0.0,0.0,voluntary,0.0,0.0,false
0x961c1aaf7fe0d2b84999944362ad90e848b59aa7,0.0,0.0,voluntary,0.0,0.0,false
0x962d4cf024f687e5f04176ead33f461d371a7a0f,0.0,0.0,voluntary,0.0,0.0,false
0x98f2ce1dbf528fa51126a41863e91e8a9a259c46,261.201516558669747535,600.76348808494041933,voluntary,0.0,600.76348808494041933,false
0x99679f6c76d4bdb3082bd4b944437ecee93d596a,0.0,0.0,voluntary,0.0,0.0,false
0xa0da6f9f30e980bc03b25a539c2652b3d5bef212,0.0,0.0,voluntary,0.0,0.0,false
0xa4c4f41bf6742dcd9f549fe68ee386b128b3872f,0.0,0.0,voluntary,0.0,0.0,false
0xab837f3bb0ba520cace8f30f0742c60e38461399,0.0,0.0,voluntary,0.0,0.0,false
0xb3cebcf743faa0b4d5efb2907d280bd7ddf2ddd8,0.0,0.0,voluntary,0.0,0.0,false
0xb757faa4e8948eae292234763a2044865593352a,0.0,0.0,voluntary,0.0,0.0,false
0xba6c3ee93b3c571a92db2a7ea54165eb76f1a628,0.0,0.0,voluntary,0.0,0.0,false
0xba9636ed6a47ff6b4f50060172a01f362b91b7b6,303.633179926982875402,1457.439263649517801929,voluntary,0.0,1457.439263649517801929,false
0xbaeca48d3ab36bedf24dc0e47ec46e84b4709f55,0.0,0.0,voluntary,0.0,0.0,false
0xbb579d861e5885f867d46c126bdfa8025415faaa,0.0,0.0,voluntary,0.0,0.0,false
0xbe8d471def32b6e9f0ed6241780f63d005852dc9,0.0,0.0,voluntary,0.0,0.0,false
0xbf550e97a0859e70579b49700ec9ac55d4bfc361,0.0,0.0,voluntary,0.0,0.0,false
0xc1d00cb4adc2d751673335ec4dbf691f81d5e023,0.0,0.0,voluntary,0.0,0.0,false
0xc3836599de06bc821ce9b99ab30cae1b426760ea,0.0,0.0,voluntary,0.0,0.0,false
0xc3bbcf4260b204ed8d87e62629bc979a2ccc3161,0.0,0.0,voluntary,0.0,0.0,false
0xc5978f0f386b69f60cfd33867de4309752438e79,0.0,0.0,voluntary,0.0,0.0,false
0xc857a07ca20babeda3f76e9be6b1b2701a29fc11,0.0,0.0,voluntary,0.0,0.0,false
0xc8b19839ae371bd541f20b15c3a3cb82bfb6a6c6,0.0,0.0,voluntary,0.0,0.0,false
0xc93a3f243515c65bd0c6f77cc5fd7bc3299ed6f4,0.0,0.0,voluntary,0.0,0.0,false
0xca96a64c6ffb25798aced111db48442bdc8d4e9d,0.0,0.0,voluntary,0.0,0.0,false
0xcceea200668750aeeb155d2c609d8223b054dbd5,0.0,0.0,voluntary,0.0,0.0,false
0xce67147f8cc3d389cbbf6b0d81614f0f3386b612,0.0,0.0,voluntary,0.0,0.0,false
0xcf059f40e9d9504a95c0a879a6c81644c2c96042,0.0,0.0,voluntary,0.0,0.0,false
0xd116f82b52926b421317d3a176c31934023ea6c0,0.0,0.0,voluntary,0.0,0.0,false
0xd2b3f647ebb1ef32b7b366947f50c75bf19a73cb,0.0,0.0,voluntary,0.0,0.0,false
0xd39af3fc016e3e36f10423d885f0f39e9e1d1cc1,0.0,0.0,voluntary,0.0,0.0,false
0xd86076a23c589b5288a65f570bcfd925c972f266,0.0,0.0,voluntary,0.0,0.0,false
0xd9f153db848d8165e855af26c9be7304d3adc2e9,0.0,0.0,voluntary,0.0,0.0,false
0xdb3f49e793743539e192f1f5cf271590941d79f0,0.0,0.0,voluntary,0.0,0.0,false
0xdc284582e6c556fbdc1f85e18afaeb3a6cbdf289,0.0,0.0,voluntary,0.0,0.0,false
0xdd16f14aa9226e7ecc456f8b52427f92eb7b84ee,0.0,0.0,voluntary,0.0,0.0,false
0xde5d6076f557a4c71897d90919b0b0a4ad0a8257,0.0,0.0,voluntary,0.0,0.0,false
0xdeffdce128c9e919a089d48d8530cf52fc179b23,0.0,0.0,voluntary,0.0,0.0,false
0xdf14e16dedcafc209fc7cafd9da0322d8691bdeb,0.0,0.0,voluntary,0.0,0.0,false
0xe0290f11a134e3a0b247d555ae67f1f4f752ce09,0.0,0.0,voluntary,0.0,0.0,false
0xe15affab343f85e275773be71fd85ded53ea75e1,0.0,0.0,voluntary,0.0,0.0,false
0xe48440c1f17235038c2b9e535c50fc64c6f8703a,0.0,0.0,voluntary,0.0,0.0,false
0xe66e9c6c46cdf646edcfd5082503755b448dcf18,0.0,0.0,voluntary,0.0,0.0,false
0xe759b5d4efd26f7d4f40989b644d986a73d774b2,0.0,0.0,voluntary,0.0,0.0,false
0xe7ea6bbed00cf814af6a06d47739231aa82793c4,0.0,0.0,voluntary,0.0,0.0,false
0xe895084850c04af3a57fdd90c0ba42ba440bc3a8,0.0,0.0,voluntary,0.0,0.0,false
0xeb41d485bb7e714da845ffabd3b23d4b37caf611,0.0,0.0,voluntary,0.0,0.0,false
0xed251842b7f1c277d95b7fb1d34904e053242281,0.0,0.0,voluntary,0.0,0.0,false
0xf1d16b920b3c66b2d151d2974d81f80894631b40,0.0,0.0,voluntary,0.0,0.0,false
0xf2aa7991de3c181c7423e92d427b02d0a28b5550,0.0,0.0,voluntary,0.0,0.0,false
0xf32e96c8c7af61522ec2f5d19a38eced963d3306,0.0,0.0,voluntary,0.0,0.0,false
0xf727d89d989681f363a5fbdf128ce4192eb8c479,0.0,0.0,voluntary,0.0,0.0,false
0xf8f2f3c11d730fbaae07571a034104e57c73c9ff,0.0,0.0,voluntary,0.0,0.0,false
0xfbfab8eabc4179693e6d8dd97764a172ab71e037,0.0,0.0,voluntary,0.0,0.0,false
0xfe1c94ab457dafdfc9b38be986bb8b3729891cae,0.0,0.0,voluntary,0.0,0.0,false
